ticket_id,created_date,category,subcategory,priority,issue_description,root_cause,resolution,assigned_team,resolution_time_hours
INC100001,2024-06-01 02:28:45,Outlook,Performance,Medium,Application lags badly when switching between folders in Outlook,An oversized OST file combined with too many add-ins enabled was degrading Outlook's performance.,"Disabled unnecessary add-ins, ran the Microsoft Support and Recovery Assistant to optimize and compact the OST file, enabled cached Exchange mode with a reduced sync window, and confirmed improved performance.",Messaging Team,5.2
INC100002,2024-06-01 12:07:02,Microsoft Teams,Meetings,High,"User unable to join scheduled Teams meeting, gets stuck connecting",An outdated Teams client version was incompatible with the meeting service's updated calling infrastructure.,"Updated the Teams client to the latest version through the app's update mechanism, restarted the application, verified microphone and camera permissions were granted, and confirmed successful meeting join with working audio and video.",Cloud Operations,7.8
INC100003,2024-06-02 14:52:52,WiFi,Performance,High,Wireless internet noticeably slower than wired connection,Access point congestion due to a high density of connected devices in one area was exceeding the recommended client capacity per access point.,"Analyzed access point client load using the wireless controller dashboard, deployed an additional access point to balance the load, enabled band steering to push capable devices to the less congested 5GHz band, and confirmed improved speeds.",Network Team,9.1
INC100004,2024-06-03 02:11:53,Network,DNS,High,Users unable to reach internal websites by name,"The primary internal DNS server service had stopped responding due to a memory leak, causing name resolution failures for clients pointed to it.","Restarted the DNS server service, cleared the DNS cache on affected client machines using ipconfig /flushdns, verified zone records were intact, and confirmed name resolution was working normally.",Network Team,10.0
INC100005,2024-06-03 08:54:58,Microsoft Teams,Notifications,Medium,Teams chat notifications not appearing on desktop,Windows Focus Assist settings combined with disabled notification permissions for Teams in Windows Settings were suppressing notification banners.,"Checked Windows notification settings and enabled notifications for Microsoft Teams, disabled Focus Assist during work hours, verified notification settings within the Teams app itself, and confirmed alerts were now appearing.",Desktop Support,9.8
INC100006,2024-06-03 09:54:58,Password Reset,Forgotten Password,Medium,"Employee requesting password reset, locked out of all systems",The user had forgotten their password after an extended period away from the office and their self-service reset portal enrollment had expired.,"Verified the user's identity per security policy, performed a manual password reset in Active Directory, set the account to require a password change at next logon, and guided the user through re-enrollment in self-service password reset.",Security Team,11.5
INC100007,2024-06-03 11:58:12,Security,Malware,Critical,Endpoint protection flagged a suspicious file as malicious,The user had downloaded an infected file from an untrusted website that bypassed initial email filtering.,"Isolated the affected device from the network immediately, ran a full antivirus scan and removed the identified malware, verified no lateral spread occurred via network logs, and re-imaged the device as a precaution before returning it to service.",Security Team,3.9
INC100008,2024-06-03 13:27:05,Email,Phishing / Security,High,User reported a suspicious phishing email received in inbox,"A phishing email impersonating a known vendor was sent to multiple users, attempting to harvest credentials through a fake login page.","Confirmed the email was malicious through header analysis, blocked the sender domain at the email gateway, purged the message from all affected mailboxes using Microsoft Purview, and notified affected users with security awareness guidance.",Security Team,10.0
INC100009,2024-06-03 14:50:13,Security,Device Restriction,Medium,External storage device access denied on company laptop,USB storage device access was intentionally restricted by endpoint security policy to prevent unauthorized data exfiltration.,"Confirmed the restriction was policy-driven and intentional, discussed the user's business need, and submitted an exception request for the specific device to be whitelisted by the security team once approved.",Security Team,29.4
INC100010,2024-06-03 15:28:45,Desktop,Application Stability,Medium,Application on workstation locks up and stops responding,Insufficient system memory combined with a memory leak in an outdated version of the application was causing it to become unresponsive.,"Closed unnecessary background processes to free memory, updated the application to the latest patched version, increased the page file size, and confirmed stable operation over an extended testing period.",Application Support,12.4
INC100011,2024-06-03 16:33:25,Microsoft Teams,Application Crash,Low,Teams desktop client will not finish loading,A corrupted local Teams cache was preventing the application from initializing correctly.,"Closed Teams completely from Task Manager, cleared the Teams cache folder from the local AppData directory, restarted the application, and confirmed Teams loaded and signed in successfully.",Cloud Operations,43.7
INC100012,2024-06-03 17:01:26,Security,Device Restriction,Medium,"USB drive not recognized, blocked by endpoint security policy",USB storage device access was intentionally restricted by endpoint security policy to prevent unauthorized data exfiltration.,"Confirmed the restriction was policy-driven and intentional, discussed the user's business need, and submitted an exception request for the specific device to be whitelisted by the security team once approved.",Security Team,26.0
INC100013,2024-06-03 17:06:10,Password Reset,MFA Reset,Medium,Multi-factor authentication broken after device replacement,"The user's MFA authentication method was tied to a mobile device that was no longer in their possession, blocking the second authentication factor.","Verified the user's identity through alternate means per security policy, removed the old MFA device registration in Azure AD, guided the user through re-registering MFA on their new device, and confirmed successful login.",Security Team,19.0
INC100014,2024-06-03 17:23:58,Network,Intermittent Connectivity,Medium,User experiences random disconnects from the corporate LAN,A faulty network patch cable combined with a misconfigured switch port duplex setting caused intermittent packet loss and disconnects.,"Replaced the faulty patch cable, reset the switch port to auto-negotiate duplex and speed settings, and monitored the connection for 30 minutes to confirm stability.",Network Team,29.9
INC100015,2024-06-03 17:51:28,Printer,Driver Issue,Medium,Printer shows error 0x00000709 after update,The recent Windows update overwrote the existing printer driver with an incompatible generic driver.,"Uninstalled the incompatible generic driver, downloaded and installed the manufacturer-certified driver version, reconfigured the default printer settings, and verified successful printing.",Desktop Support,7.1
INC100016,2024-06-03 18:58:37,Desktop,Display,Low,Monitor stays in sleep mode and never wakes up,A loose display cable connection at the graphics card was preventing the video signal from reaching the monitor.,"Reseated the display cable at both the monitor and graphics card ends, tested with an alternate cable to rule out a faulty cable, and confirmed video output was restored.",Desktop Support,18.9
INC100017,2024-06-03 19:07:08,Active Directory,Group Policy,Medium,Resources unavailable to users since the OU reorganization,"Group Policy Objects linked to the previous organizational unit were not linked to the new OU, causing loss of policy-based resource access.","Reviewed GPO links in Group Policy Management Console, linked the appropriate policies to the new organizational unit, ran gpupdate /force on affected machines, and confirmed restored access.",Security Team,9.4
INC100018,2024-06-04 05:55:52,Office 365,Licensing,High,User unable to install Office due to missing license,The new user's Office 365 license assignment was missed during the onboarding provisioning process.,"Assigned the appropriate Office 365 license in the Microsoft 365 admin center, waited for license propagation, and confirmed the user could install and activate Office applications.",Cloud Operations,6.2
INC100019,2024-06-04 08:24:57,Software Installation,Installation Failure,Medium,Software install hangs at a specific step and does not complete,Insufficient permissions on the local machine and a conflicting older version of the software were preventing successful installation.,"Uninstalled the conflicting older version completely using the manufacturer's removal tool, ran the installer with elevated administrator privileges, and confirmed successful installation and application launch.",Desktop Support,7.4
INC100020,2024-06-04 08:36:44,Outlook,Shared Mailbox,Medium,Shared mailbox no longer appears in user's Outlook,The user's permission on the shared mailbox had been inadvertently removed during a recent Active Directory group cleanup.,"Re-added the user's permissions to the shared mailbox in the Exchange Online admin center, had the user remove and re-add the shared mailbox in Outlook, and confirmed it appeared with full access.",Messaging Team,7.5
INC100021,2024-06-04 09:19:42,Network,Outage,Critical,"Whole floor offline, no network access for any device",A core switch failure in the building's network closet caused a loss of connectivity for all connected devices.,"Identified the failed core switch via monitoring alerts, failed over traffic to the redundant switch, replaced the faulty hardware, and restored full connectivity for the affected department.",Network Team,3.6
INC100022,2024-06-04 10:17:55,Active Directory,Group Membership,Medium,User's new group access has not taken effect yet,"The user's Kerberos ticket had not refreshed since the group membership change, so the new permissions were not reflected in their active session.","Confirmed the group membership change was correctly applied in Active Directory, had the user log off and back on to refresh their Kerberos ticket, and verified access to the resource was now working.",Security Team,8.7
INC100023,2024-06-04 10:57:17,Desktop,Boot Failure,High,Workstation fails to boot into Windows after power outage,A corrupted system file caused by an improper shutdown during a power outage was preventing Windows from booting normally.,"Booted into the Windows Recovery Environment, ran startup repair and System File Checker (sfc /scannow), repaired the corrupted boot configuration data, and confirmed the desktop booted successfully into Windows.",Desktop Support,5.7
INC100024,2024-06-04 12:03:45,Office 365,Licensing,Low,Office license appears unassigned for new starter,The new user's Office 365 license assignment was missed during the onboarding provisioning process.,"Assigned the appropriate Office 365 license in the Microsoft 365 admin center, waited for license propagation, and confirmed the user could install and activate Office applications.",Cloud Operations,22.6
INC100025,2024-06-04 14:42:33,Laptop,Battery,Medium,Battery life has degraded significantly on company laptop,"The laptop battery had reached the end of its usable lifecycle after several years of charge cycles, reducing its capacity significantly.","Ran a battery health diagnostic confirming significantly degraded capacity, ordered and installed a replacement battery from approved vendor stock, and verified normal battery performance after replacement.",Desktop Support,9.1
INC100026,2024-06-04 16:52:16,Outlook,Sync Issue,High,Mailbox not syncing new messages in desktop Outlook client,"The local OST cache file had become corrupted, preventing synchronization between the Outlook client and the Exchange Online mailbox.","Closed Outlook, deleted the corrupted OST file from the local profile cache, reopened Outlook to trigger a fresh download of mailbox data, and confirmed new emails were syncing correctly.",Messaging Team,4.3
INC100027,2024-06-04 18:47:46,Outlook,Search,Medium,Search function broken in Outlook desktop client,"The Windows Search index for Outlook had become corrupted, preventing the search function from returning accurate results.","Rebuilt the Outlook search index via Indexing Options in Control Panel, verified Outlook was included in the indexed locations, allowed the index to rebuild fully, and confirmed search returned correct results.",Messaging Team,11.6
INC100028,2024-06-04 20:06:48,VPN,Authentication,Low,Remote access fails after changing corporate password,"Stored VPN credentials became invalid after the user's domain password was updated, causing authentication failures against the RADIUS server.","Cleared cached VPN credentials from Windows Credential Manager, prompted the user to re-enter the new password, restarted the VPN client service, and verified successful tunnel establishment and connectivity to internal resources.",Network Team,54.4
